y_i,y_s
1.640606,2.83472
1.640606,3.056595
1.640606,2.430358
1.639149,1.775201
1.630519,3.26547
1.630519,3.217462
1.621884,1.692647
1.621884,1.724112
1.621884,2.223238
1.621884,3.256634
1.621884,3.041798
1.621884,3.57744
1.621884,2.433571
1.621884,1.507775
1.62043,1.739267
1.611798,1.717863
1.611798,2.904442
1.611798,5.027784
1.603161,1.818082
1.603161,3.563598
1.603161,2.826716
1.603161,3.342941
1.601711,1.601234
1.593076,3.520246
1.593076,2.725274
1.593076,3.082798
1.584436,4.243725
1.584436,3.192367
1.574353,1.686683
1.574353,1.59546
1.574353,1.709207
1.574353,3.568321
1.574353,1.69298
1.574353,3.280755
1.574353,2.22797
1.574353,1.665133
1.574353,2.571387
1.565711,5.570611
1.557063,2.747262
1.557063,4.272365
1.557063,4.628767
1.557063,3.017916
1.557063,3.209462
1.557063,3.417956
1.557063,4.311811
1.555628,1.510643
1.546983,1.602442
1.546983,3.461238
1.546983,4.582716
1.546983,1.677645
1.538333,2.477244
1.538333,2.534866
1.538333,3.462855
1.528255,2.933711
1.528255,1.898015
1.528255,2.783776
1.528255,5.303252
1.528255,3.494707
1.528255,2.664069
1.519602,4.240935
1.519602,2.744428
1.519602,1.877561
1.519136,2.804268
1.518175,2.786861
1.509525,5.931062
1.509525,2.173356
1.509525,1.734683
1.509525,1.591344
1.509525,4.205174
1.509525,2.278335
1.500869,2.795497
1.500869,1.583223
1.500869,4.630173
1.500869,1.585424
1.500869,3.79431
1.500869,2.528225
1.500869,3.774999
1.490793,2.355307
1.490793,2.685196
1.490793,1.74444
1.490793,3.365562
1.490793,3.16535
1.490793,2.515061
1.482134,1.499919
1.482134,2.048382
1.47347,3.56109
1.47347,2.85784
1.47347,4.916137
1.47206,2.976702
1.469682,3.324586
1.463398,1.528009
1.463398,1.66499
1.463398,3.376084
1.463398,3.1934
1.463398,4.376485
1.463398,2.823853
1.463398,3.678067
1.463398,3.753834
1.454731,4.763835
1.454731,2.705413
1.454731,1.691322
1.454731,3.430966
1.453738,4.458683
1.44562,3.414244
1.444661,1.548612
1.444661,1.489475
1.444661,2.557708
1.444661,2.697784
1.444661,4.907035
1.444661,2.374258
1.444661,3.770024
1.43599,1.499511
1.43599,2.612636
1.425921,2.4573
1.425921,2.861419
1.425921,3.772722
1.421361,6.069726
1.417247,2.538631
1.417247,3.310102
1.408567,3.957112
1.408567,3.152382
1.408567,2.961957
1.408567,4.205965
1.408567,2.234541
1.408567,3.136587
1.408567,1.247615
1.398503,2.17301
1.389819,2.73843
1.389819,4.236565
1.389819,3.502302
1.389819,1.750484
1.389819,2.543422
1.38113,3.014358
1.38113,2.874083
1.38113,3.730093
1.38113,2.556033
1.38113,5.268087
1.38113,2.75079
1.38113,1.846837
1.372215,3.5439
1.37107,5.326602
1.37107,3.133766
1.362377,2.426887
1.362377,1.337484
1.362377,2.542464
1.362377,3.72309
1.362377,4.010004
1.362377,2.746455
1.362377,2.262939
1.362377,1.405212
1.352318,1.313396
1.352318,1.330722
1.352318,2.296093
1.352318,2.848966
1.352318,2.959621
1.352318,2.969683
1.352318,1.960954
1.343621,3.539945
1.343621,3.092273
1.343621,2.92491
1.343621,2.251567
1.334918,3.787276
1.334918,1.742099
1.334918,3.333936
1.330958,1.42617
1.330958,1.23624
1.324863,2.339729
1.324863,2.876001
1.324863,3.586046
1.324863,2.674947
1.316157,2.503619
1.316157,1.911276
1.316157,3.598505
1.316157,3.135557
1.307444,1.832989
1.297393,3.184305
1.297393,1.697153
1.297393,2.403939
1.297393,3.631326
1.297393,4.048834
1.297393,3.241254
1.297393,2.395744
1.297393,2.19202
1.288676,3.862758
1.288676,3.707218
1.288676,1.302745
1.288676,1.34688
1.288676,3.251322
1.288676,3.039813
1.288676,2.843291
1.288676,3.001366
1.279952,4.774501
1.279952,3.639221
1.279952,3.969284
1.279952,1.689036
1.279952,3.311427
1.279952,1.953944
1.279952,1.299024
1.269905,2.461856
1.269905,3.398799
1.269905,1.781473
1.269905,3.425165
1.261177,3.910144
1.261177,1.443853
1.252443,3.752111
1.252443,2.734381
1.252443,5.573695
1.252443,3.417114
1.2424,3.52543
1.2424,1.927543
1.233661,1.793652
1.233661,1.987359
1.233661,3.283903
1.233661,3.384325
1.233661,2.470412
1.214876,3.074429
1.214876,3.600667
1.214876,3.107686
1.214876,2.378633
1.214876,3.04311
1.214876,3.5735
1.206125,4.297381
1.206125,2.053187
1.206125,1.599913
1.206125,2.252516
1.206125,1.511478
1.197367,1.189401
1.197367,1.486724
1.197367,3.035261
1.197367,1.992017
1.187332,2.687431
1.187332,2.644043
1.187332,2.495002
1.187332,4.139836
1.178569,1.509444
1.178569,3.522379
1.178569,2.568316
1.178569,2.28735
1.178569,2.603511
1.178569,1.031834
1.169799,5.712442
1.169799,2.170161
1.169799,3.188324
1.169799,3.091057
1.169799,1.699008
1.169799,2.644366
1.169799,1.96079
1.169799,1.297117
1.159768,3.093953
1.159768,2.317549
1.159768,2.412643
1.159768,4.075165
1.150993,1.548329
1.150993,3.459686
1.13342,3.968959
1.13342,2.123278
1.13342,2.350802
1.13342,2.452623
1.123394,3.033828
1.123394,1.925392
1.123394,2.760212
1.123394,4.214111
1.114599,1.977826
1.114599,1.774523
1.114599,3.259406
1.114599,3.018783
1.105795,3.075879
1.105795,3.00429
1.105795,2.129643
1.105795,1.684208
1.095773,2.758157
1.095773,3.389609
1.095773,3.161893
1.095773,2.046826
1.086963,1.534005
1.086963,1.020179
1.086963,2.30086
1.086963,1.370314
1.078146,3.792221
1.078146,2.930379
1.068127,3.355509
1.068127,4.59482
1.068127,2.765936
1.068127,1.990201
1.068127,1.892632
1.041632,3.350251
1.041632,2.640791
1.041632,3.659626
1.031617,2.808773
1.019785,3.604936
1.013916,1.852946
1.013916,4.423069
1.013916,3.145784
1.013916,1.935531
1.003904,3.089363
1.003904,3.531708
1.003904,4.804655
1,1
0.995041,2.320527
0.995041,2.887941
0.995041,4.116312
0.995041,1.80086
0.98617,15.961776
0.98617,2.741157
0.98617,3.528782
0.981681,17.502228
0.976161,3.998011
0.958395,1.468285
0.949498,2.072055
0.930587,2.310771
0.921672,2.384969
0.912748,3.159636
0.902745,2.948218
0.902745,2.247673
0.875916,2.992436
0.875916,2.479452
0.875916,1.809445
0.875916,2.359074
0.875916,2.632651
0.866952,3.188282
0.856952,2.246617
0.856952,1.691342
0.828995,3.681781
0.82,2.485021
0.818994,2.454894
0.818994,2.518709
0.806949,1.721318
0.806949,2.044108
0.80379,1.846227
0.80379,1.666529
0.793787,1.743899
0.793787,1.95959
0.792708,2.261527
0.792708,2.71972
0.77938,2.927183
0.77938,1.396597
0.77938,2.229087
0.747187,1.46098
0.734466,1.748736
0.663918,1.896795
0.661813,2.443562
